INSTRUMENT,REF_THEO,REF_UNDERLYING_PRICE,DELTA,GAMMA
E1AK2 P3745,1.010013,4422.75,-0.0043294,0.0000068
E1AK2 P3750,1.0278619,4422.75,-0.0044308,0.0000082
E1AK2 P3755,1.0457515,4422.75,-0.0045358,0.0000096
E1AK2 P3760,1.0639562,4422.75,-0.0046457,0.0000111
E1AK2 P3765,1.0823222,4422.75,-0.00476,0.0000126
E1AK2 P3770,1.1010456,4422.75,-0.0048795,0.0000142
E1AK2 P3775,1.1201299,4422.75,-0.0050044,0.0000159
E1AK2 P3780,1.1396937,4422.75,-0.0051354,0.0000176
E1AK2 P3785,1.1595489,4422.75,-0.0052719,0.0000193
E1AK2 P3790,1.1796434,4422.75,-0.0054138,0.0000211
E1AK2 P3795,1.2002621,4422.75,-0.0055623,0.000023
E1AK2 P3800,1.2212045,4422.75,-0.005717,0.0000249
E1AK2 P3805,1.2430522,4422.75,-0.0058803,0.0000269
E1AK2 P3810,1.2651081,4422.75,-0.0060496,0.000029
E1AK2 P3815,1.2876814,4422.75,-0.0062264,0.0000311
E1AK2 P3820,1.310886,4422.75,-0.0064113,0.0000333
E1AK2 P3825,1.3348335,4422.75,-0.006605,0.0000356
E1AK2 P3830,1.3595156,4422.75,-0.0068077,0.000038
E1AK2 P3835,1.3848428,4422.75,-0.0070194,0.0000405
E1AK2 P3840,1.4108752,4422.75,-0.0072405,0.0000431
E1AK2 P3845,1.4377232,4422.75,-0.0074718,0.0000457
E1AK2 P3850,1.4652081,4422.75,-0.0077127,0.0000485
E1AK2 P3855,1.493422,4422.75,-0.0079639,0.0000513
E1AK2 P3860,1.5224847,4422.75,-0.0082263,0.0000543
E1AK2 P3865,1.5523419,4422.75,-0.0084999,0.0000574
E1AK2 P3870,1.5830984,4422.75,-0.0087855,0.0000606
E1AK2 P3875,1.6147012,4422.75,-0.0090833,0.0000639
E1AK2 P3880,1.6472635,4422.75,-0.009394,0.0000674
E1AK2 P3885,1.6810024,4422.75,-0.0097191,0.000071
E1AK2 P3890,1.7154346,4422.75,-0.0100566,0.0000748
E1AK2 P3895,1.7512907,4422.75,-0.0104105,0.0000787
E1AK2 P3900,1.7876477,4422.75,-0.0107766,0.0000827
E1AK2 P3905,1.8254878,4422.75,-0.0111602,0.000087
E1AK2 P3910,1.8647204,4422.75,-0.0115614,0.0000914
E1AK2 P3915,1.9051348,4422.75,-0.0119794,0.000096
E1AK2 P3920,1.9468858,4422.75,-0.0124157,0.0001008
E1AK2 P3925,1.9902227,4422.75,-0.012872,0.0001058
E1AK2 P3930,2.0349798,4422.75,-0.0133479,0.000111
E1AK2 P3935,2.0816873,4422.75,-0.0138469,0.0001164
E1AK2 P3940,2.129512,4422.75,-0.0143651,0.0001221
E1AK2 P3945,2.1797813,4422.75,-0.0149102,0.000128
E1AK2 P3950,2.2318851,4422.75,-0.0154797,0.0001342
E1AK2 P3955,2.2860253,4422.75,-0.0160752,0.0001407
E1AK2 P3960,2.3421946,4422.75,-0.0166975,0.0001474
E1AK2 P3965,2.400548,4422.75,-0.0173481,0.0001545
E1AK2 P3970,2.4610787,4422.75,-0.0180278,0.0001618
E1AK2 P3975,2.5246197,4422.75,-0.0187421,0.0001696
E1AK2 P3980,2.5908169,4422.75,-0.0194899,0.0001776
E1AK2 P3985,2.6595665,4422.75,-0.0202718,0.0001866
E1AK2 P3990,2.7315418,4422.75,-0.0210965,0.0001974
E1AK2 P3995,2.8061342,4422.75,-0.0219632,0.0002087
E1AK2 P4000,2.8840062,4422.75,-0.022877,0.0002206
E1AK2 P4005,2.9652581,4422.75,-0.0238402,0.000233
E1AK2 P4010,3.0500446,4422.75,-0.024855,0.0002461
E1AK2 P4015,3.1384413,4422.75,-0.0259234,0.0002598
E1AK2 P4020,3.230511,4422.75,-0.0270475,0.0002742
E1AK2 P4025,3.3270879,4422.75,-0.028234,0.0002892
E1AK2 P4030,3.427561,4422.75,-0.0294809,0.0003051
E1AK2 P4035,3.5326147,4422.75,-0.0307942,0.0003216
E1AK2 P4040,3.642517,4422.75,-0.0321776,0.000339
E1AK2 P4045,3.7571207,4422.75,-0.0336319,0.0003573
E1AK2 P4050,3.8771128,4422.75,-0.0351636,0.0003764
E1AK2 P4055,4.0024815,4422.75,-0.0367747,0.0003964
E1AK2 P4060,4.1335861,4422.75,-0.0384697,0.0004174
E1AK2 P4065,4.2708748,4422.75,-0.0402537,0.0004394
E1AK2 P4070,4.4148216,4422.75,-0.042132,0.0004624
E1AK2 P4075,4.5653913,4422.75,-0.0441069,0.0004865
E1AK2 P4080,4.7231467,4422.75,-0.0461844,0.0005117
E1AK2 P4085,4.8887051,4422.75,-0.0483712,0.0005381
E1AK2 P4090,5.0617921,4422.75,-0.0506678,0.0005656
E1AK2 P4095,5.2973752,4421.75,-0.0535636,0.000595
E1AK2 P4100,5.4894719,4421.75,-0.0561249,0.0006251
E1AK2 P4105,5.6327496,4422.75,-0.058287,0.0006558
E1AK2 P4110,5.8414021,4422.75,-0.0610845,0.000686
E1AK2 P4115,6.0605102,4422.75,-0.0639992,0.0007087
E1AK2 P4120,6.2905438,4422.75,-0.0670233,0.0007318
E1AK2 P4125,6.5312617,4422.75,-0.070155,0.0007554
E1AK2 P4130,6.7835,4422.75,-0.0733998,0.0007795
E1AK2 P4135,7.0476146,4422.75,-0.0767598,0.0008041
E1AK2 P4140,7.3241991,4422.75,-0.0802388,0.000829
E1AK2 P4145,7.6133099,4422.75,-0.0838363,0.0008544
E1AK2 P4150,7.9155245,4422.75,-0.0875557,0.00088
E1AK2 P4155,8.2314175,4422.75,-0.0913998,0.000906
E1AK2 P4160,8.5604661,4422.75,-0.0953643,0.0009323
E1AK2 P4165,8.9048856,4422.75,-0.0994628,0.0009588
E1AK2 P4170,9.2644219,4422.75,-0.1036923,0.0009856
E1AK2 P4175,9.6368105,4422.75,-0.1080365,0.0010125
E1AK2 P4180,10.0278148,4422.75,-0.1125317,0.0010396
E1AK2 P4185,10.4348683,4422.75,-0.1171594,0.0010668
E1AK2 P4190,10.8587564,4422.75,-0.1219227,0.0010941
E1AK2 P4195,11.3002951,4422.75,-0.1268251,0.0011215
E1AK2 P4200,11.7591758,4422.75,-0.1318626,0.0011488
E1AK2 P4205,12.2365883,4422.75,-0.1370405,0.0011761
E1AK2 P4210,12.7334055,4422.75,-0.1423619,0.0012034
E1AK2 P4215,13.2469965,4422.75,-0.1478088,0.0012306
E1AK2 P4220,13.7827596,4422.75,-0.1534112,0.0012577
E1AK2 P4225,14.3392005,4422.75,-0.1591576,0.0012846
E1AK2 P4230,14.9166234,4422.75,-0.1650472,0.0013113
E1AK2 P4235,15.5160897,4422.75,-0.1710834,0.0013378
E1AK2 P4240,16.1390454,4422.75,-0.1772715,0.0013641
E1AK2 P4245,16.7848309,4422.75,-0.1836049,0.0013901
E1AK2 P4250,17.4544507,4422.75,-0.1900863,0.0014159
E1AK2 P4255,18.1487653,4422.75,-0.1967174,0.0014413
E1AK2 P4260,18.8692935,4422.75,-0.2035028,0.0014663
E1AK2 P4265,19.6155883,4422.75,-0.2104372,0.001491
E1AK2 P4270,20.3873329,4422.75,-0.2175163,0.0015154
E1AK2 P4275,21.1877999,4422.75,-0.2247527,0.0015393
E1AK2 P4280,22.0190704,4422.75,-0.2321525,0.0015628
E1AK2 P4285,22.8793299,4422.75,-0.2397037,0.0015858
E1AK2 P4290,23.7692877,4422.75,-0.2474065,0.0016083
E1AK2 P4295,24.6907044,4422.75,-0.2552644,0.001629
E1AK2 P4300,25.6445381,4422.75,-0.2632553,0.0016421
E1AK2 P4305,26.6309822,4422.75,-0.2713638,0.0016554
E1AK2 P4310,27.6509666,4422.75,-0.2795914,0.001669
E1AK2 P4315,28.7053972,4422.75,-0.2879394,0.0016831
E1AK2 P4320,29.7952106,4422.75,-0.2964098,0.0016976
E1AK2 P4325,30.9204032,4422.75,-0.3050013,0.0017127
E1AK2 P4330,32.0829633,4422.75,-0.3137197,0.0017284
E1AK2 P4335,33.2852807,4422.75,-0.3225714,0.0017448
E1AK2 P4340,34.5230677,4422.75,-0.3315433,0.001762
E1AK2 P4345,35.7997548,4422.75,-0.3406463,0.00178
E1AK2 P4350,37.1162126,4422.75,-0.3498834,0.0017989
E1AK2 P4355,38.4736645,4422.75,-0.3592587,0.0018187
E1AK2 P4360,39.8725517,4422.75,-0.3687747,0.0018394
E1AK2 P4365,41.3142544,4422.75,-0.3784382,0.0018649
E1AK2 P4370,42.8017847,4422.75,-0.3883475,0.0019193
E1AK2 P4375,44.3316738,4422.75,-0.398554,0.0019685
E1AK2 P4380,45.907582,4422.75,-0.4090527,0.002012
E1AK2 P4385,47.5304822,4422.75,-0.4198324,0.0020496
E1AK2 P4390,49.203268,4422.75,-0.4308831,0.002081
E1AK2 P4395,50.9262074,4422.75,-0.44219,0.0021061
E1AK2 P4400,52.7007613,4422.75,-0.4537392,0.0021248
E1AK2 P4405,54.5286654,4422.75,-0.4655155,0.0021371
E1AK2 P4410,56.4113327,4422.75,-0.4775028,0.0021428
